k,sigma,amp,P_switch
0.1,-2.0,0.0,0.3
0.1,-2.0,0.25,0.28
0.1,-2.0,1.0,0.16
0.1,-2.0,0.75,0.3
0.1,-2.0,1.25,0.28
0.1,-2.0,0.5,0.28
0.1,-2.0,1.75,0.3
0.1,-2.0,1.5,0.22
0.1,-2.0,2.0,0.32
0.1,-1.8125,0.0,0.3
0.1,-1.8125,0.25,0.26
0.1,-1.8125,0.5,0.16
0.1,-1.8125,1.0,0.18
0.1,-1.8125,1.5,0.24
0.1,-1.8125,1.25,0.34
0.1,-1.8125,0.75,0.18
0.1,-1.8125,1.75,0.24
0.1,-1.8125,2.0,0.26
0.1,-1.625,0.5,0.18
0.1,-1.625,0.25,0.14
0.1,-1.625,0.75,0.14
0.1,-1.625,0.0,0.28
0.1,-1.625,1.25,0.22
0.1,-1.625,1.0,0.36
0.1,-1.4375,0.0,0.16
0.1,-1.625,2.0,0.12
0.1,-1.625,1.5,0.26
0.1,-1.625,1.75,0.2
0.1,-1.4375,0.25,0.24
0.1,-1.4375,0.5,0.2
0.1,-1.4375,1.5,0.32
0.1,-1.4375,1.0,0.16
0.1,-1.4375,1.75,0.26
0.1,-1.4375,0.75,0.18
0.1,-1.4375,1.25,0.26
0.1,-1.4375,2.0,0.32
0.1,-1.25,0.5,0.2
0.1,-1.25,0.25,0.34
0.1,-1.25,0.0,0.26
0.1,-1.25,1.0,0.22
0.1,-1.25,0.75,0.22
0.1,-1.25,1.25,0.18
0.1,-1.25,1.5,0.3
0.1,-1.25,1.75,0.36
0.1,-1.0625,0.0,0.28
0.1,-1.0625,0.25,0.24
0.1,-1.25,2.0,0.44
0.1,-1.0625,0.5,0.3
0.1,-1.0625,0.75,0.24
0.1,-1.0625,1.0,0.24
0.1,-1.0625,1.25,0.2
0.1,-1.0625,1.75,0.28
0.1,-1.0625,1.5,0.28
0.1,-1.0625,2.0,0.32
0.1,-0.875,0.0,0.32
0.1,-0.875,0.25,0.2
0.1,-0.875,0.75,0.38
0.1,-0.875,1.0,0.24
0.1,-0.875,0.5,0.42
0.1,-0.875,1.25,0.3
0.1,-0.875,2.0,0.24
0.1,-0.875,1.5,0.2
0.1,-0.875,1.75,0.34
0.1,-0.6875,0.0,0.36
0.1,-0.6875,0.25,0.38
0.1,-0.6875,0.5,0.2
0.1,-0.6875,1.0,0.38
0.1,-0.6875,0.75,0.32
0.1,-0.6875,1.25,0.26
0.1,-0.6875,1.5,0.42
0.1,-0.6875,1.75,0.4
0.1,-0.6875,2.0,0.4
0.1,-0.5,0.0,0.42
0.1,-0.5,0.25,0.14
0.1,-0.5,0.5,0.24
0.1,-0.5,1.0,0.56
0.1,-0.5,0.75,0.44
0.1,-0.5,1.25,0.7
0.1,-0.5,1.5,0.74
0.1,-0.5,1.75,0.76
0.1,-0.5,2.0,0.68
0.25555555555555554,-2.0,0.5,0.2
0.25555555555555554,-2.0,0.0,0.22
0.25555555555555554,-2.0,0.25,0.18
0.25555555555555554,-2.0,0.75,0.32
0.25555555555555554,-2.0,1.0,0.3
0.25555555555555554,-2.0,1.25,0.28
0.25555555555555554,-2.0,1.5,0.1
0.25555555555555554,-2.0,2.0,0.18
0.25555555555555554,-2.0,1.75,0.24
0.25555555555555554,-1.8125,0.0,0.22
0.25555555555555554,-1.8125,0.25,0.26
0.25555555555555554,-1.8125,0.5,0.18
0.25555555555555554,-1.8125,1.25,0.2
0.25555555555555554,-1.8125,0.75,0.16
0.25555555555555554,-1.8125,1.0,0.22
0.25555555555555554,-1.8125,1.5,0.24
0.25555555555555554,-1.8125,1.75,0.32
0.25555555555555554,-1.8125,2.0,0.32
0.25555555555555554,-1.625,0.0,0.28
0.25555555555555554,-1.625,0.25,0.3
0.25555555555555554,-1.625,0.5,0.28
0.25555555555555554,-1.625,0.75,0.18
0.25555555555555554,-1.625,1.0,0.3
0.25555555555555554,-1.625,1.25,0.2
0.25555555555555554,-1.625,1.5,0.2
0.25555555555555554,-1.625,1.75,0.16
0.25555555555555554,-1.625,2.0,0.18
0.25555555555555554,-1.4375,0.0,0.22
0.25555555555555554,-1.4375,0.25,0.32
0.25555555555555554,-1.4375,0.75,0.24
0.25555555555555554,-1.4375,0.5,0.3
0.25555555555555554,-1.4375,1.0,0.3
0.25555555555555554,-1.4375,1.25,0.26
0.25555555555555554,-1.4375,1.5,0.3
0.25555555555555554,-1.4375,1.75,0.16
0.25555555555555554,-1.4375,2.0,0.24
0.25555555555555554,-1.25,0.0,0.32
0.25555555555555554,-1.25,0.25,0.24
0.25555555555555554,-1.25,0.5,0.36
0.25555555555555554,-1.25,0.75,0.26
0.25555555555555554,-1.25,1.0,0.18
0.25555555555555554,-1.25,1.5,0.3
0.25555555555555554,-1.25,1.25,0.24
0.25555555555555554,-1.25,1.75,0.24
0.25555555555555554,-1.25,2.0,0.34
0.25555555555555554,-1.0625,0.0,0.2
0.25555555555555554,-1.0625,0.25,0.26
0.25555555555555554,-1.0625,0.5,0.38
0.25555555555555554,-1.0625,0.75,0.28
0.25555555555555554,-1.0625,1.0,0.3
0.25555555555555554,-1.0625,1.25,0.38
0.25555555555555554,-1.0625,1.5,0.26
0.25555555555555554,-1.0625,1.75,0.4
0.25555555555555554,-1.0625,2.0,0.32
0.25555555555555554,-0.875,0.0,0.24
0.25555555555555554,-0.875,0.25,0.24
0.25555555555555554,-0.875,0.5,0.32
0.25555555555555554,-0.875,0.75,0.42
0.25555555555555554,-0.875,1.0,0.44
0.25555555555555554,-0.875,1.25,0.38
0.25555555555555554,-0.875,1.5,0.38
0.25555555555555554,-0.875,1.75,0.28
0.25555555555555554,-0.875,2.0,0.28
0.25555555555555554,-0.6875,0.0,0.4
0.25555555555555554,-0.6875,0.25,0.24
0.25555555555555554,-0.6875,0.5,0.36
0.25555555555555554,-0.6875,0.75,0.46
0.25555555555555554,-0.6875,1.0,0.4
0.25555555555555554,-0.6875,1.25,0.54
0.25555555555555554,-0.6875,1.5,0.6
0.25555555555555554,-0.6875,1.75,0.46
0.25555555555555554,-0.6875,2.0,0.48
0.25555555555555554,-0.5,0.0,0.42
0.25555555555555554,-0.5,0.25,0.14
0.25555555555555554,-0.5,0.5,0.16
0.25555555555555554,-0.5,0.75,0.42
0.25555555555555554,-0.5,1.0,0.72
0.25555555555555554,-0.5,1.25,0.92
0.25555555555555554,-0.5,1.5,0.9
0.25555555555555554,-0.5,1.75,0.86
0.25555555555555554,-0.5,2.0,0.94
0.4111111111111111,-2.0,0.0,0.32
0.4111111111111111,-2.0,0.5,0.3
0.4111111111111111,-2.0,0.25,0.24
0.4111111111111111,-2.0,0.75,0.3
0.4111111111111111,-2.0,1.0,0.34
0.4111111111111111,-2.0,1.25,0.2
0.4111111111111111,-2.0,1.5,0.3
0.4111111111111111,-2.0,1.75,0.38
0.4111111111111111,-2.0,2.0,0.16
0.4111111111111111,-1.8125,0.0,0.2
0.4111111111111111,-1.8125,0.25,0.28
0.4111111111111111,-1.8125,0.5,0.3
0.4111111111111111,-1.8125,0.75,0.32
0.4111111111111111,-1.8125,1.25,0.24
0.4111111111111111,-1.8125,1.0,0.3
0.4111111111111111,-1.8125,1.5,0.18
0.4111111111111111,-1.8125,1.75,0.18
0.4111111111111111,-1.8125,2.0,0.3
0.4111111111111111,-1.625,0.0,0.42
0.4111111111111111,-1.625,0.5,0.28
0.4111111111111111,-1.625,0.25,0.2
0.4111111111111111,-1.625,0.75,0.22
0.4111111111111111,-1.625,1.0,0.36
0.4111111111111111,-1.625,1.25,0.28
0.4111111111111111,-1.625,1.5,0.3
0.4111111111111111,-1.625,2.0,0.28
0.4111111111111111,-1.625,1.75,0.26
0.4111111111111111,-1.4375,0.25,0.32
0.4111111111111111,-1.4375,0.0,0.32
0.4111111111111111,-1.4375,0.5,0.24
0.4111111111111111,-1.4375,0.75,0.3
0.4111111111111111,-1.4375,1.0,0.26
0.4111111111111111,-1.4375,1.25,0.32
0.4111111111111111,-1.4375,1.5,0.44
0.4111111111111111,-1.4375,1.75,0.18
0.4111111111111111,-1.4375,2.0,0.3
0.4111111111111111,-1.25,0.0,0.34
0.4111111111111111,-1.25,0.5,0.24
0.4111111111111111,-1.25,0.25,0.28
0.4111111111111111,-1.25,0.75,0.38
0.4111111111111111,-1.25,1.0,0.36
0.4111111111111111,-1.25,1.25,0.48
0.4111111111111111,-1.25,1.5,0.36
0.4111111111111111,-1.25,1.75,0.28
0.4111111111111111,-1.25,2.0,0.36
0.4111111111111111,-1.0625,0.0,0.3
0.4111111111111111,-1.0625,0.25,0.28
0.4111111111111111,-1.0625,0.5,0.24
0.4111111111111111,-1.0625,0.75,0.42
0.4111111111111111,-1.0625,1.0,0.4
0.4111111111111111,-1.0625,1.25,0.24
0.4111111111111111,-1.0625,1.5,0.32
0.4111111111111111,-1.0625,1.75,0.3
0.4111111111111111,-1.0625,2.0,0.4
0.4111111111111111,-0.875,0.0,0.34
0.4111111111111111,-0.875,0.25,0.36
0.4111111111111111,-0.875,0.5,0.34
0.4111111111111111,-0.875,0.75,0.42
0.4111111111111111,-0.875,1.0,0.38
0.4111111111111111,-0.875,1.25,0.38
0.4111111111111111,-0.875,1.5,0.44
0.4111111111111111,-0.875,1.75,0.4
0.4111111111111111,-0.875,2.0,0.62
0.4111111111111111,-0.6875,0.0,0.44
0.4111111111111111,-0.6875,0.25,0.24
0.4111111111111111,-0.6875,0.5,0.24
0.4111111111111111,-0.6875,0.75,0.46
0.4111111111111111,-0.6875,1.0,0.48
0.4111111111111111,-0.6875,1.25,0.72
0.4111111111111111,-0.6875,1.5,0.68
0.4111111111111111,-0.6875,1.75,0.72
0.4111111111111111,-0.6875,2.0,0.82
0.4111111111111111,-0.5,0.0,0.5
0.4111111111111111,-0.5,0.25,0.0
0.4111111111111111,-0.5,0.5,0.1
0.4111111111111111,-0.5,0.75,0.24
0.4111111111111111,-0.5,1.0,0.5
0.4111111111111111,-0.5,1.25,0.88
0.4111111111111111,-0.5,1.5,0.98
0.4111111111111111,-0.5,1.75,0.96
0.4111111111111111,-0.5,2.0,0.94
0.5666666666666667,-2.0,0.0,0.3
0.5666666666666667,-2.0,0.25,0.22
0.5666666666666667,-2.0,0.5,0.22
0.5666666666666667,-2.0,0.75,0.36
0.5666666666666667,-2.0,1.0,0.38
0.5666666666666667,-2.0,1.25,0.3
0.5666666666666667,-2.0,1.5,0.36
0.5666666666666667,-2.0,1.75,0.18
0.5666666666666667,-2.0,2.0,0.22
0.5666666666666667,-1.8125,0.0,0.36
0.5666666666666667,-1.8125,0.25,0.14
0.5666666666666667,-1.8125,0.5,0.28
0.5666666666666667,-1.8125,0.75,0.42
0.5666666666666667,-1.8125,1.0,0.24
0.5666666666666667,-1.8125,1.25,0.24
0.5666666666666667,-1.8125,1.5,0.34
0.5666666666666667,-1.8125,1.75,0.34
0.5666666666666667,-1.8125,2.0,0.3
0.5666666666666667,-1.625,0.0,0.32
0.5666666666666667,-1.625,0.25,0.36
0.5666666666666667,-1.625,0.5,0.22
0.5666666666666667,-1.625,0.75,0.38
0.5666666666666667,-1.625,1.0,0.24
0.5666666666666667,-1.625,1.25,0.38
0.5666666666666667,-1.625,1.5,0.4
0.5666666666666667,-1.625,1.75,0.22
0.5666666666666667,-1.625,2.0,0.18
0.5666666666666667,-1.4375,0.0,0.3
0.5666666666666667,-1.4375,0.25,0.26
0.5666666666666667,-1.4375,0.5,0.28
0.5666666666666667,-1.4375,0.75,0.36
0.5666666666666667,-1.4375,1.0,0.18
0.5666666666666667,-1.4375,1.25,0.34
0.5666666666666667,-1.4375,1.5,0.38
0.5666666666666667,-1.4375,1.75,0.4
0.5666666666666667,-1.4375,2.0,0.36
0.5666666666666667,-1.25,0.0,0.36
0.5666666666666667,-1.25,0.25,0.42
0.5666666666666667,-1.25,0.5,0.28
0.5666666666666667,-1.25,0.75,0.38
0.5666666666666667,-1.25,1.0,0.38
0.5666666666666667,-1.25,1.25,0.28
0.5666666666666667,-1.25,1.5,0.34
0.5666666666666667,-1.25,1.75,0.36
0.5666666666666667,-1.25,2.0,0.38
0.5666666666666667,-1.0625,0.0,0.34
0.5666666666666667,-1.0625,0.25,0.42
0.5666666666666667,-1.0625,0.5,0.34
0.5666666666666667,-1.0625,0.75,0.44
0.5666666666666667,-1.0625,1.0,0.22
0.5666666666666667,-1.0625,1.25,0.36
0.5666666666666667,-1.0625,1.5,0.4
0.5666666666666667,-1.0625,1.75,0.48
0.5666666666666667,-1.0625,2.0,0.44
0.5666666666666667,-0.875,0.0,0.34
0.5666666666666667,-0.875,0.25,0.36
0.5666666666666667,-0.875,0.5,0.42
0.5666666666666667,-0.875,0.75,0.46
0.5666666666666667,-0.875,1.0,0.48
0.5666666666666667,-0.875,1.25,0.54
0.5666666666666667,-0.875,1.5,0.46
0.5666666666666667,-0.875,1.75,0.64
0.5666666666666667,-0.875,2.0,0.66
0.5666666666666667,-0.6875,0.0,0.4
0.5666666666666667,-0.6875,0.25,0.2
0.5666666666666667,-0.6875,0.5,0.18
0.5666666666666667,-0.6875,0.75,0.34
0.5666666666666667,-0.6875,1.0,0.5
0.5666666666666667,-0.6875,1.25,0.78
0.5666666666666667,-0.6875,1.5,0.74
0.5666666666666667,-0.6875,1.75,0.9
0.5666666666666667,-0.6875,2.0,0.92
0.5666666666666667,-0.5,0.0,0.44
0.5666666666666667,-0.5,0.25,0.0
0.5666666666666667,-0.5,0.5,0.06
0.5666666666666667,-0.5,0.75,0.1
0.5666666666666667,-0.5,1.0,0.44
0.5666666666666667,-0.5,1.25,0.62
0.5666666666666667,-0.5,1.5,1.0
0.5666666666666667,-0.5,1.75,1.0
0.5666666666666667,-0.5,2.0,0.98
0.7222222222222222,-2.0,0.0,0.36
0.7222222222222222,-2.0,0.25,0.3
0.7222222222222222,-2.0,0.5,0.24
0.7222222222222222,-2.0,0.75,0.26
0.7222222222222222,-2.0,1.0,0.3
0.7222222222222222,-2.0,1.25,0.3
0.7222222222222222,-2.0,1.5,0.24
0.7222222222222222,-2.0,2.0,0.42
0.7222222222222222,-2.0,1.75,0.38
0.7222222222222222,-1.8125,0.0,0.34
0.7222222222222222,-1.8125,0.25,0.32
0.7222222222222222,-1.8125,0.5,0.5
0.7222222222222222,-1.8125,0.75,0.38
0.7222222222222222,-1.8125,1.25,0.36
0.7222222222222222,-1.8125,1.0,0.32
0.7222222222222222,-1.8125,1.5,0.38
0.7222222222222222,-1.8125,1.75,0.36
0.7222222222222222,-1.8125,2.0,0.28
0.7222222222222222,-1.625,0.0,0.34
0.7222222222222222,-1.625,0.25,0.44
0.7222222222222222,-1.625,0.5,0.38
0.7222222222222222,-1.625,0.75,0.34
0.7222222222222222,-1.625,1.0,0.3
0.7222222222222222,-1.625,1.25,0.34
0.7222222222222222,-1.625,1.5,0.36
0.7222222222222222,-1.625,1.75,0.32
0.7222222222222222,-1.625,2.0,0.34
0.7222222222222222,-1.4375,0.0,0.36
0.7222222222222222,-1.4375,0.25,0.36
0.7222222222222222,-1.4375,0.5,0.32
0.7222222222222222,-1.4375,0.75,0.26
0.7222222222222222,-1.4375,1.25,0.26
0.7222222222222222,-1.4375,1.0,0.34
0.7222222222222222,-1.4375,1.5,0.36
0.7222222222222222,-1.4375,1.75,0.3
0.7222222222222222,-1.4375,2.0,0.22
0.7222222222222222,-1.25,0.0,0.46
0.7222222222222222,-1.25,0.5,0.42
0.7222222222222222,-1.25,0.25,0.4
0.7222222222222222,-1.25,0.75,0.56
0.7222222222222222,-1.25,1.0,0.42
0.7222222222222222,-1.25,1.25,0.44
0.7222222222222222,-1.25,1.5,0.32
0.7222222222222222,-1.25,1.75,0.38
0.7222222222222222,-1.25,2.0,0.44
0.7222222222222222,-1.0625,0.0,0.38
0.7222222222222222,-1.0625,0.25,0.42
0.7222222222222222,-1.0625,0.5,0.42
0.7222222222222222,-1.0625,0.75,0.44
0.7222222222222222,-1.0625,1.0,0.4
0.7222222222222222,-1.0625,1.25,0.42
0.7222222222222222,-1.0625,1.5,0.48
0.7222222222222222,-1.0625,1.75,0.44
0.7222222222222222,-1.0625,2.0,0.46
0.7222222222222222,-0.875,0.0,0.6
0.7222222222222222,-0.875,0.25,0.24
0.7222222222222222,-0.875,0.5,0.24
0.7222222222222222,-0.875,0.75,0.24
0.7222222222222222,-0.875,1.0,0.42
0.7222222222222222,-0.875,1.25,0.52
0.7222222222222222,-0.875,1.5,0.64
0.7222222222222222,-0.875,1.75,0.72
0.7222222222222222,-0.875,2.0,0.76
0.7222222222222222,-0.6875,0.0,0.6
0.7222222222222222,-0.6875,0.25,0.12
0.7222222222222222,-0.6875,0.5,0.04
0.7222222222222222,-0.6875,0.75,0.24
0.7222222222222222,-0.6875,1.0,0.54
0.7222222222222222,-0.6875,1.25,0.62
0.7222222222222222,-0.6875,1.5,0.8
0.7222222222222222,-0.6875,1.75,0.98
0.7222222222222222,-0.6875,2.0,0.94
0.7222222222222222,-0.5,0.0,0.56
0.7222222222222222,-0.5,0.25,0.0
0.7222222222222222,-0.5,0.5,0.0
0.7222222222222222,-0.5,0.75,0.0
0.7222222222222222,-0.5,1.0,0.18
0.7222222222222222,-0.5,1.25,0.68
